vramUsedBytes,gpuHandle
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,0
1802240000,1
1802280960,1
2374606848,1
2375364608,1
2375450624,1
2375536640,1
2361139200,1
2361139200,1
2361139200,1
2361253888,1
2361253888,1
2361253888,0
1802280960,1
2356641792,1
2375491584,1
2375581696,1
2375667712,1
2375749632,1
2361233408,1
2361233408,1
2361237504,1
2361348096,1
2361348096,1
2361348096,0
1802280960,1
2356641792,1
2375278592,1
2375364608,1
2375450624,1
2375536640,1
2375622656,1
2361413632,1
2361413632,1
2361413632,1
2361413632,1
2361524224,1
2361524224,1
2361524224,1
2361524224,0
1802280960,1
2356641792,1
2375299072,1
2375385088,1
2375471104,1
2375565312,1
2361397248,1
2361397248,1
2361397248,1
2361397248,1
2361511936,1
2361511936,1
2361511936,1
1808388096,1
1802293248,1
2374713344,1
2375471104,1
2375565312,1
2375651328,1
2361196544,1
2361196544,1
2361196544,1
2361311232,1
2361311232,1
2361311232,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802252288,0
1802293248,1
2356654080,1
2373541888,1
1809592320,1
1802293248,1
