sampleNs,vramUsedBytes,magpiePids,gpuHandle
1787927899189893970,2389237760,741452:753819:754192,1
1787927899598967905,2389286912,741452:753819:754230,1
1787927900004062003,2425688064,741452:753819:754250,1
1787927900407636220,2425737216,741452:753819:754279,1
1787927900807578370,2425794560,741452:753819:754326,1
1787927901209070674,2425843712,741452:753819:754352,1
1787927901610885714,2425892864,741452:753819:754379,1
1787927902006922361,2425942016,741452:753819:754418,1
1787927902412261483,2425991168,741452:753819:754439,1
1787927902821724796,2426040320,741452:753819:754468,1
1787927903218904638,2426089472,741452:753819:754490,1
1787927903624685432,2426138624,741452:753819:754510,1
1787927904049053205,2426187776,741452:753819:754556,1
1787927904468020951,2426241024,741452:753819:754585,1
1787927904870258393,2426023936,741452:753819:754616,1
1787927905275704276,2426073088,741452:753819:754640,1
1787927905672618227,2426122240,741452:753819:754742,1
1787927906071831397,2426171392,741452:753819:754853,1
1787927906476977363,2426212352,741452:753819:754882,1
1787927906886579916,2426261504,741452:753819:754903,1
1787927907321746062,2426318848,741452:753819:754928,1
1787927907744073062,3189194752,741452:753819:754955,1
1787927908146187212,1867341824,741452:754972:754977,1
1787927908539492993,2421702656,741452:754972:755016,1
1787927908935282567,2440265728,741452:754972:755204,1
1787927909326888331,2440351744,741452:754972:755251,1
1787927909724259943,2440433664,741452:754972:755275,1
1787927910126353417,2440519680,741452:754972:755437,1
1787927910522910263,2440605696,741452:754972:755671,1
1787927910919201574,2440683520,741452:754972:755732,1
1787927911337335046,2425589760,741452:754972:755762,1
1787927911746692380,2425589760,741452:754972:755793,1
1787927912154623827,2425593856,741452:754972:755830,1
1787927912562136472,2425593856,741452:754972:755858,1
1787927912968774243,2425593856,741452:754972:755909,1
1787927913373287846,2425704448,741452:754972:755932,1
1787927913780202068,2425704448,741452:754972:755959,1
1787927914188414197,2425704448,741452:754972:755995,1
1787927914590536285,2425704448,741452:756091,0
