vramUsedBytes,gpuHandle
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808183296,0
1808224256,1
2362585088,1
2381266944,1
2381357056,1
2381443072,1
2367082496,1
2367082496,1
2367082496,1
2367193088,1
2367197184,1
2367197184,0
1808224256,1
2362585088,1
2381422592,1
2381512704,1
2381598720,1
2381684736,1
2367176704,1
2367176704,1
2367180800,1
2367291392,1
2367291392,1
2367291392,1
1808224256,1
2362585088,1
2381234176,1
2381320192,1
2381414400,1
2381500416,1
2367361024,1
2367356928,1
2367356928,1
2367356928,1
2367356928,1
2367467520,1
2367467520,1
2367467520,1
1814343680,1
1808224256,1
2380517376,1
2381279232,1
2381373440,1
2381459456,1
2381545472,1
2367328256,1
2367328256,1
2367328256,1
2367328256,1
2367442944,1
2367442944,1
2367442944,1
1808224256,1
2353098752,1
2371899392,1
2371985408,1
2372075520,1
2357641216,1
2357641216,1
2357641216,1
2357755904,1
2357755904,1
2357755904,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,0
1798696960,1
1798737920,1
2353098752,1
2370015232,0
1798737920,1
